Gene ID	'10 day' vs '7 day' in 'wild type' .foldChange	'12 day' vs '7 day' in 'wild type' .foldChange	'13 day' vs '7 day' in 'wild type' .foldChange	'15 day' vs '7 day' in 'wild type' .foldChange	'8 day' vs '7 day' in 'wild type' .foldChange	'val1 mutant' vs 'wild type' at '10 days after pollination' .foldChange	'val1 mutant' vs 'wild type' at '13 days after pollination' .foldChange	'val1 mutant' vs 'wild type' at '15 days after pollination' .foldChange	'val1 mutant' vs 'wild type' at '7 days after pollination' .foldChange	'val1 mutant' vs 'wild type' at '8 days after pollination' .foldChange
AT1G01010	-2.5	NA	NA	NA	NA	NA	-1.6	-1.4		
AT1G01030	NA	NA	NA	-1.5	NA	NA				
AT1G01040	1.5	1.5	1.3	NA	NA	NA				
AT1G01046	NA	2.9	NA	NA	NA	NA				
AT1G01060	NA	NA	NA	NA	-1.4	NA				
AT1G01080	-1.9	-2.9	-3.4	-5.4	NA	NA				
AT1G01090	NA	NA	-1.4	-3.4	NA	NA				
AT1G01100	-1.7	-1.8	-1.7	-2.2	NA	NA				
AT1G01110	-1.3	-1.1	-2	-3.6	NA	NA	1.4	1.4		
AT1G01120	-2.2	-1.3	-2.1	-4.6	NA	NA				
AT1G01130	NA	NA	NA	-2.2	NA	NA				
AT1G01140	NA	NA	-2.1	-4.8	NA	NA				
AT1G01150	-2.8	-3.7	-5.3	-5.3	NA	NA				
AT1G01170	NA	NA	NA	2.2	NA	NA				
AT1G01180	NA	4	5.2	8.5	NA	NA				
AT1G01190	NA	NA	2.9	5.2	NA	NA				
AT1G01200	-3.2	-3.3	NA	2.1	NA	NA				
AT1G01210	-2	-1.8	NA	1.1	NA	NA				
AT1G01225	1.5	1.4	1.1	NA	NA	NA				
AT1G01230	2.2	2.4	2.6	2.9	NA	NA				
AT1G01240	3.2	3.5	4.4	6.3	NA	NA				
AT1G01250	6.1	7.1	7.2	7.5	1.8	NA				
AT1G01260	NA	1.3	1.7	1.1	NA	NA				
AT1G01300	NA	1.1	NA	NA	NA	NA				
AT1G01305	NA	5.4	7	7.7	NA	NA				
AT1G01310	-2	NA	NA	NA	NA	NA				
AT1G01320	-1.7	-2.1	-2.3	-2.8	NA	NA				
AT1G01340	-2.8	NA	NA	1.7	NA	NA				
AT1G01350	NA	NA	NA	1.4	NA	NA				
AT1G01355	NA	NA	NA	8.5	NA	NA		-2.3		
AT1G01360	NA	1.8	2	2	NA	NA				
AT1G01370	-3.3	-5.2	-4.9	-5.4	NA	NA				
AT1G01380	1.2	NA	NA	NA	NA	NA				
AT1G01420	NA	3.9	5.1	6.3	NA	NA				
AT1G01430	1.2	NA	NA	-2.6	NA	NA				
AT1G01448	1.2	1.3	1.4	1.4	NA	NA				
AT1G01460	-3.1	-4.5	-4	-4	NA	NA				
AT1G01470	NA	4.4	NA	11.3	NA	NA				
AT1G01480	6.5	11.8	12.6	12.9	NA	NA				
AT1G01490	2.2	2.7	2.8	1.9	NA	NA				
AT1G01500	3.3	3.4	3.3	3.9	1.4	NA				
AT1G01510	NA	NA	NA	-2.1	NA	NA				
AT1G01520	NA	NA	-2.1	2	NA	NA		-1.7		
AT1G01550	NA	1.2	1.1	1.2	NA	NA				
AT1G01570	NA	NA	NA	1.4	NA	NA				
AT1G01580	NA	NA	2.9	8.8	NA	1.4	1.8	1.4		
AT1G01610	-1.5	NA	-3.1	-6.1	NA	NA				
AT1G01620	NA	-2.8	-4.1	-5.5	NA	NA				
AT1G01630	-1.7	-1.7	-1.5	-1.1	NA	NA		-1.4		
AT1G01640	NA	2.3	3.1	4.7	NA	NA				
AT1G01650	NA	1.3	1.9	3.5	NA	NA				
AT1G01690	-2.1	-2.1	-2.2	-2.9	NA	NA				
AT1G01695	NA	NA	-3.7	-3.7	NA	NA				
AT1G01700	NA	NA	NA	-1.3	NA	NA				
AT1G01710	NA	NA	NA	2	NA	NA				
AT1G01720	2.6	3.9	4.7	6.8	1.1	NA				
AT1G01725	3	3.4	3.6	3.9	NA	NA				
AT1G01730	-1.8	-1.6	NA	NA	NA	NA				
AT1G01740	NA	-1.6	-1.5	-1.7	NA	NA				
AT1G01760	NA	NA	-1.2	-1.8	NA	NA				
AT1G01770	NA	NA	NA	NA	NA	NA		1.1		
AT1G01790	NA	-1.3	-2.2	-4.1	NA	NA				
AT1G01810	NA	NA	NA	1.6	NA	NA				
AT1G01820	NA	NA	1.1	1.9	NA	NA				
AT1G01840	-2	-2.5	-1.5	NA	NA	NA				
AT1G01880	NA	NA	NA	NA	NA	NA	-1.2	-1.6		
AT1G01900	-4.9	-5.4	-6.9	-8.6	NA	NA				
AT1G01930	NA	NA	NA	1.5	NA	NA				
AT1G01940	-2	-1.9	-1.7	NA	NA	NA				
AT1G01980	-2.9	-2.9	-4.2	-5.7	NA	NA				
AT1G01990	NA	NA	NA	1.2	NA	NA				
AT1G02000	-2.1	-1.2	-1.4	NA	NA	NA				
AT1G02020	NA	NA	NA	1.2	NA	NA				
AT1G02040	NA	2.7	3	NA	NA	1.5				
AT1G02050	NA	1.2	1.6	2	NA	NA				
AT1G02090	-1.2	-1.3	-1.1	NA	NA	NA				
AT1G02110	NA	-1.1	-1.5	-1.4	NA	NA		-1.2		
AT1G02120	1.3	NA	1.1	1.5	NA	NA				
AT1G02150	-2	-2.7	-2.9	-2	NA	NA				
AT1G02160	NA	NA	NA	1.1	NA	NA				
AT1G02180	-1.6	-1.3	-1.6	-3	NA	NA				
AT1G02220	4.4	4.4	NA	NA	NA	-1.3				
AT1G02260	2.3	2.6	2.6	2.1	NA	NA				
AT1G02280	-2	-2.5	-2.4	-2	NA	NA				
AT1G02290	NA	NA	NA	-1.3	NA	NA				
AT1G02300	NA	-2.8	NA	NA	NA	NA				
AT1G02305	1.4	1.9	1.9	1.7	NA	NA				
AT1G02310	4.9	6.7	7.3	7.8	NA	NA				
AT1G02335	NA	NA	NA	NA	1.4	NA				
AT1G02340	-3.6	-4.3	-7.7	-8.6	NA	NA				
AT1G02350	NA	-1.5	-2.2	-2.3	NA	NA				
AT1G02370	-1.3	NA	NA	NA	NA	NA				
AT1G02380	NA	NA	NA	2.6	NA	NA				
AT1G02390	NA	-1.6	-3.4	-8.1	NA	NA	1.9	2.3		
AT1G02400	NA	NA	NA	7.4	NA	NA				
AT1G02405	-3.9	-4.2	NA	2.8	NA	NA		-1.2		
AT1G02500	NA	NA	NA	-1.4	NA	NA				
AT1G02520	NA	NA	3.1	4	NA	NA	-1.3			
AT1G02560	-1.6	-2.3	-2.1	-1.3	NA	NA				
AT1G02570	-5.5	-6.4	-6.7	-6.8	-1.4	NA				
AT1G02610	NA	NA	NA	6.9	NA	NA				
AT1G02640	-4.1	-4.9	-4.5	NA	-1.7	NA				
AT1G02650	NA	-2.9	-3.4	NA	NA	NA				
AT1G02660	NA	NA	1.9	4.4	NA	NA	-1.2			
AT1G02670	NA	NA	-1.4	-3.9	NA	NA				
AT1G02690	-2.9	-3.5	-3.7	-3.4	NA	NA				
AT1G02700	5.3	8.3	10.3	12.9	NA	-1.2	-1.5			
AT1G02710	NA	NA	4.3	7.2	NA	NA		-1.5		
AT1G02720	1.1	NA	NA	-1.2	NA	NA				
AT1G02730	-2.8	-4.8	-6.4	-9.7	NA	NA				
AT1G02750	NA	NA	NA	1.5	NA	NA				
AT1G02770	NA	NA	NA	1.9	NA	5.4	5.3	4.6		5.5
AT1G02780	-1.4	-1.7	-1.7	-2.5	NA	NA				
AT1G02790	-2.2	-3	-3.6	-4.9	NA	NA				
AT1G02800	-5.7	-9.5	-9.6	-9.6	NA	NA				
AT1G02816	2.3	3.3	3.9	5.4	NA	NA				
AT1G02840	-1.2	-1.2	-1.1	NA	NA	NA				
AT1G02850	6.6	8.9	10	9.9	2.1	-1.2	-1.5			-1.2
AT1G02860	NA	-1.6	-2.2	-2.6	NA	NA				
AT1G02870	-2.9	-2.1	-1.3	NA	-1.1	NA				
AT1G02880	NA	1.3	1.8	2.7	NA	NA				
AT1G02890	1.2	1.5	2	2.1	NA	NA				
