geneid	Col-0-A_FPKM	Col-0-C_FPKM	Col-0-B_FPKM	dcc1-C_FPKM	dcc1-B_FPKM	dcc1-A_FPKM
AT4G24250	2.03	2.51	2.13	1.83	1.97	1.53
AT5G56220	2.33	3.21	3.43	0.9	1.12	1.01
AT3G13600	0.95	2.6	2.7	1.73	2.31	1.72
AT4G19950	1.47	1.33	1.56	2.55	2.99	2.11
AT3G53170	1.1	1.64	2.24	2.41	1.71	2.91
AT2G45040	2.29	1.96	2.61	1.54	2.21	1.42
AT5G54710	2.16	3.02	2.96	1.63	1.36	0.91
AT1G19670	2.8	1.53	2.43	1.6	1.8	1.89
AT1G33770	1.17	2.15	1.32	2.26	2.89	2.26
AT3G01490	4.24	2.45	3.61	0.44	0.65	0.66
AT5G37440	0.08	2.15	2.14	1.92	3.46	2.3
AT1G17345	3.06	1.31	1.45	1.67	2.06	2.51
AT1G23205	2.74	2.76	2.61	1.14	1.11	1.71
AT1G59850	2.53	2.43	2.54	1.9	1.46	1.21
AT3G60070	1.56	2.55	1.77	1.57	2.22	2.41
AT4G00070	0.18	2.34	1.69	3.79	1.84	2.27
AT4G24860	2.01	1.83	1.51	1.88	2.3	2.58
AT5G06230	1.97	2.29	2.35	2.18	1.84	1.48
AT5G20790	4.73	3.55	3.74	0	0.09	0
AT1G12460	0.97	2.4	2.7	1.97	1.88	2.19
AT1G30860	1.97	1.89	2.53	1.61	1.94	2.18
AT2G42660	2.59	1.91	2.14	1.71	1.83	1.94
AT5G04780	1.03	1.96	2.72	2.29	2.23	1.89
AT5G61370	0.89	2.9	3.01	1.71	1.82	1.79
AT2G23093	0.73	2.15	2.63	2.06	2.33	2.24
AT2G42820	1.11	2.39	2.12	2.61	1.88	2.03
AT3G48200	2.3	3.74	4.09	0.65	0.69	0.67
AT2G35658	3.85	1.5	1.15	2.7	2.15	0.79
AT1G67856	0	3.27	2.83	3.51	1.61	0.93
AT1G12260	1.21	2.31	2.79	1.14	2.34	2.37
AT2G01730	1.41	2.32	2.49	1.83	2.19	1.92
AT3G62450	0.66	2.81	0.82	2.93	2.61	2.34
AT1G04700	1.3	2.92	2.62	1.98	1.52	1.84
