query name	match name	R	p-value	reference	Cluster
x4cl	X4cl	1	0	WT Leaf WW	5
x4cl	TX4	0.745557349	1.36E-62	WT Leaf WW	5
x4cl	NW LPI_1	0.683831219	5.09E-49	WT Leaf WW	5
x4cl	TW Xylem_LPI_6_14	0.68149918	1.42E-48	WT Leaf DR	7
x4cl	TW LPI_1	0.66581931	1.13E-45	WT Leaf WW	5
x4cl	Callus	0.650669062	4.93E-43	WT Leaf WW	5
x4cl	TB1	0.650473448	5.32E-43	WT Leaf WW	5
x4cl	SC3	0.634674373	2.09E-40	WT Leaf WW	5
x4cl	SC7	0.631835323	5.89E-40	WT Leaf WW	5
x4cl	CB3	0.621117855	2.69E-38	WT Leaf WW	5
x4cl	NW bark_LPI_6_14	0.619230579	5.18E-38	WT Leaf DR	7
x4cl	OB3	0.608147926	2.25E-36	WT Leaf WW	5
x4cl	TW bark_LPI_6_14	0.592833096	3.25E-34	WT Leaf DR	7
x4cl	BCYLT35	0.588126025	1.42E-33	WT Leaf WW	5
x4cl	F1YLT35	0.58349268	5.94E-33	WT Leaf WW	5
x4cl	BCMLT35	0.578991107	2.33E-32	WT Leaf WW	5
x4cl	F1MLT35	0.574109142	1.00E-31	WT Leaf WW	5
x4cl	BCMLT25	0.568774541	4.80E-31	WT Leaf WW	5
x4cl	BCYLT25	0.557968067	1.05E-29	WT Leaf WW	5
x4cl	F1YLT25	0.557750693	1.12E-29	WT Leaf WW	5
x4cl	GH	0.545516079	3.22E-28	WT Leaf WW	5
x4cl	OB2	0.543489959	5.54E-28	WT Leaf WW	5
x4cl	F1MLT25	0.540209083	1.32E-27	WT Leaf WW	5
x4cl	Seeds	0.535444357	4.62E-27	WT Leaf WW	5
x4cl	OR	0.508839118	3.47E-24	WT Leaf WW	5
x4cl	Psimonii	0.476685499	4.96E-21	WT Leaf DR	7
x4cl	NW LPI_15	-0.457569041	2.63E-19	WT.TW	9
x4cl	TW LPI_15	-0.401952396	7.24E-15	NW Xylem_below_bend	8
x4cl	Ptrichocarpa	0.326933887	4.62E-10	WT Leaf WW	5
x4cl	WTGA.OW	0.312555197	2.81E-09	WTControl	4
